data,data2,gyro
500,-0.074193548,1
508,-0.022580645,1
485,-0.170967742,1
508,-0.022580645,1
505,-0.041935484,1
483,-0.183870968,2
500,-0.074193548,2
504,-0.048387097,1
502,-0.061290323,1
506,-0.035483871,1
521,0.061290323,1
498,-0.087096774,0
502,-0.061290323,0
509,-0.016129032,0
508,-0.022580645,0
502,-0.061290323,0
516,0.029032258,0
498,-0.087096774,0
503,-0.05483871,0
503,-0.05483871,0
508,-0.022580645,0
503,-0.05483871,0
496,-0.1,0
536,0.158064516,0
496,-0.1,0
501,-0.067741935,0
494,-0.112903226,0
491,-0.132258065,0
452,-0.383870968,0
504,-0.048387097,0
503,-0.05483871,0
495,-0.106451613,0
501,-0.067741935,0
504,-0.048387097,0
508,-0.022580645,0
501,-0.067741935,0
522,0.067741935,0
504,-0.048387097,0
479,-0.209677419,0
503,-0.05483871,0
511,-0.003225806,0
523,0.074193548,-1
499,-0.080645161,-1
481,-0.196774194,-1
501,-0.067741935,-1
500,-0.074193548,0
510,-0.009677419,0
506,-0.035483871,0
492,-0.125806452,0
508,-0.022580645,0
504,-0.048387097,0
518,0.041935484,1
492,-0.125806452,1
501,-0.067741935,1
510,-0.009677419,1
495,-0.106451613,1
508,-0.022580645,1
490,-0.138709677,1
494,-0.112903226,1
501,-0.067741935,1
562,0.325806452,1
474,-0.241935484,0
507,-0.029032258,0
500,-0.074193548,0
492,-0.125806452,0
496,-0.1,0
473,-0.248387097,0
517,0.035483871,0
496,-0.1,0
495,-0.106451613,0
491,-0.132258065,0
530,0.119354839,0
503,-0.05483871,0
530,0.119354839,0
492,-0.125806452,0
514,0.016129032,0
510,-0.009677419,0
492,-0.125806452,0
497,-0.093548387,0
543,0.203225806,0
508,-0.022580645,0
514,0.016129032,0
504,-0.048387097,0
503,-0.05483871,0
467,-0.287096774,0
480,-0.203225806,0
504,-0.048387097,0
514,0.016129032,0
510,-0.009677419,0
511,-0.003225806,1
506,-0.035483871,1
544,0.209677419,1
508,-0.022580645,0
467,-0.287096774,0
512,0.003225806,0
518,0.041935484,-1
495,-0.106451613,-4
493,-0.119354839,-9
512,0.003225806,-16
451,-0.390322581,-25
494,-0.112903226,-32
535,0.151612903,-40
510,-0.009677419,-48
483,-0.183870968,-57
489,-0.14516129,-69
523,0.074193548,-82
534,0.14516129,-94
533,0.138709677,-110
527,0.1,-117
504,-0.048387097,-117
532,0.132258065,-117
501,-0.067741935,-126
534,0.14516129,121
477,-0.222580645,122
500,-0.074193548,-126
462,-0.319354839,-127
559,0.306451613,126
538,0.170967742,121
502,-0.061290323,122
414,-0.629032258,-124
621,0.706451613,-123
540,0.183870968,124
455,-0.364516129,122
476,-0.229032258,126
550,0.248387097,123
559,0.306451613,121
581,0.448387097,114
533,0.138709677,111
459,-0.338709677,115
625,0.732258065,117
511,-0.003225806,115
402,-0.706451613,107
519,0.048387097,111
586,0.480645161,126
541,0.190322581,-117
481,-0.196774194,-113
590,0.506451613,-115
545,0.216129032,-107
398,-0.732258065,-88
486,-0.164516129,-66
568,0.364516129,-60
533,0.138709677,-39
503,-0.05483871,-3
468,-0.280645161,85
527,0.1,110
533,0.138709677,118
511,-0.003225806,121
493,-0.119354839,122
540,0.183870968,-123
542,0.196774194,-115
501,-0.067741935,-108
519,0.048387097,-104
545,0.216129032,-101
555,0.280645161,-101
530,0.119354839,-101
521,0.061290323,-102
516,0.029032258,-104
531,0.125806452,-105
510,-0.009677419,-105
517,0.035483871,-107
522,0.067741935,-110
517,0.035483871,-114
559,0.306451613,-116
531,0.125806452,-116
497,-0.093548387,-114
445,-0.429032258,-113
535,0.151612903,-112
500,-0.074193548,-111
491,-0.132258065,-108
518,0.041935484,-106
523,0.074193548,-102
462,-0.319354839,-101
417,-0.609677419,-102
505,-0.041935484,-103
524,0.080645161,-102
527,0.1,-103
496,-0.1,-104
500,-0.074193548,-106
518,0.041935484,-107
532,0.132258065,-107
515,0.022580645,-110
508,-0.022580645,-116
500,-0.074193548,-122
515,0.022580645,-127
521,0.061290323,126
505,-0.041935484,123
499,-0.080645161,121
521,0.061290323,118
537,0.164516129,117
544,0.209677419,116
520,0.05483871,114
527,0.1,111
543,0.203225806,104
536,0.158064516,98
505,-0.041935484,92
499,-0.080645161,91
522,0.067741935,86
498,-0.087096774,82
512,0.003225806,79
507,-0.029032258,76
534,0.14516129,71
524,0.080645161,63
498,-0.087096774,55
534,0.14516129,-3
500,-0.074193548,-22
499,-0.080645161,-37
564,0.338709677,-50
515,0.022580645,-62
495,-0.106451613,-76
492,-0.125806452,-93
